CustomerID,TimeSlot,Channel,ChannelName,ExpectedResponseRate,Cost,Priority
0,3,2,Push,0.035972364375174426,0.05,0.6942788204025183
1,39,0,Email,0.13009664080057934,0.1,0.8559929632339017
5,148,0,Email,0.042669072279483494,0.1,1.1797025656774323
9,149,2,Push,0.03799018720487824,0.05,1.2215924763651809
15,150,0,Email,0.13351364532968396,0.1,0.5951461673931273
16,48,2,Push,0.043702805706154806,0.05,0.5292249391670266
18,139,1,SMS,0.6625560574425581,0.25,1.4801432042663825
27,78,1,SMS,0.030920537284204134,0.25,0.6625937626365835
29,55,2,Push,0.7355646292787771,0.05,0.5861998808035312
32,90,1,SMS,0.43713601247713124,0.25,1.7500688202344032
34,49,3,In-app,0.016140660208342077,0.15,0.7160187858075749
35,66,3,In-app,0.2702132318824663,0.15,0.7477140009995051
37,44,1,SMS,0.6777141301268078,0.25,1.669383530874307
38,53,3,In-app,0.019778413901097663,0.15,1.0679959418136784
39,83,2,Push,0.8064402944740877,0.05,1.1941502629209741
40,34,3,In-app,0.04428932976384595,0.15,0.8957939596672
42,84,2,Push,0.22922098812795735,0.05,1.7656896862598248
44,4,2,Push,0.0382739212326166,0.05,0.5463527691450635
50,68,1,SMS,0.8453664377311847,0.25,1.3461490047658873
53,148,3,In-app,0.03691138374313361,0.15,0.7692585168302419
54,93,2,Push,0.5602199093137941,0.05,1.031132263098804
61,122,3,In-app,0.04884905478953256,0.15,0.6754891260778696
62,49,2,Push,0.030432946449951835,0.05,0.9727680997741333
63,36,2,Push,0.3929595883613843,0.05,0.5113597329841122
64,86,0,Email,0.13091930175986596,0.1,0.500153365512693
66,0,1,SMS,0.09061116761851404,0.25,0.5755149379774825
67,156,3,In-app,0.09475381707717115,0.15,0.8927143373901796
68,96,0,Email,0.21039665815538394,0.1,0.7410330400912383
70,100,2,Push,0.041316221368772624,0.05,0.9852715520474036
72,80,1,SMS,0.03593313949440081,0.25,0.9673840381929764
77,84,3,In-app,0.021628026755190655,0.15,0.5876495460847003
79,116,1,SMS,0.31581384734396384,0.25,0.9196151831061437
83,132,2,Push,0.5265289569083035,0.05,1.377193436382213
84,34,3,In-app,0.3687074426467978,0.15,0.5512729990412965
85,161,2,Push,0.5321612515144137,0.05,0.7291805310079973
88,45,2,Push,0.3458815493327012,0.05,1.0480197093381287
90,123,2,Push,0.0267507510776168,0.05,0.509551019085344
92,138,0,Email,0.2776459835718976,0.1,1.038277775041049
93,74,0,Email,0.05125380551025494,0.1,0.7081974991413316
97,78,0,Email,0.09272370142058414,0.1,1.6447035880691092
98,28,0,Email,0.08793850314991421,0.1,0.6480259947850217
102,152,2,Push,0.04076699315907962,0.05,0.6408658678844305
105,8,2,Push,0.4285593760327541,0.05,0.9657882848052636
106,65,0,Email,0.061784859696773095,0.1,0.8363472781976043
108,152,2,Push,0.10605845974301618,0.05,0.695412634853915
109,9,1,SMS,0.24543452965900958,0.25,1.29844865152702
112,127,3,In-app,0.12471891700759932,0.15,0.9248413210034021
113,152,2,Push,0.10318805074952506,0.05,0.7065620825357222
114,142,2,Push,0.15264156875523055,0.05,1.4336765009631278
115,15,3,In-app,0.09392156063727007,0.15,1.5179411485886574
116,34,1,SMS,1.2224341710643654,0.25,1.1195982793050763
118,1,2,Push,0.029802528746305422,0.05,0.9407631827224974
119,43,2,Push,0.7198614122701756,0.05,1.3140220879111295
120,118,0,Email,0.04591942450096561,0.1,1.022463623766966
123,70,2,Push,0.8180007311507766,0.05,0.8042995625613059
125,82,1,SMS,0.2986474460937107,0.25,0.9807911666181607
126,150,0,Email,0.06614370306265598,0.1,0.5620707212463243
127,121,2,Push,0.04312837399438255,0.05,1.317655316614766
128,109,3,In-app,0.0825075023664192,0.15,1.2120022038270968
129,136,1,SMS,0.15781200434952372,0.25,1.1376427689212254
131,32,3,In-app,0.6320022587288563,0.15,0.8936221026714852
133,55,3,In-app,0.05647586940763365,0.15,1.0691265237378431
134,32,1,SMS,0.2188378381404594,0.25,1.19470692323195
135,136,3,In-app,0.13153358007648117,0.15,0.7819613998783256
136,131,1,SMS,0.5824897701857042,0.25,1.8329305447012203
138,42,2,Push,0.04232954535479099,0.05,1.4832645948513838
140,95,3,In-app,0.26421692178627076,0.15,0.7281256859190598
141,111,3,In-app,0.07131669928311624,0.15,1.1608076263900282
142,20,1,SMS,0.15242409779341645,0.25,0.6527839767329991
147,59,0,Email,0.36487254367495037,0.1,0.8279066853419811
151,130,1,SMS,1.6155350680400544,0.25,0.8826036168602696
153,135,1,SMS,0.21981578176799063,0.25,0.9017719690480241
155,133,1,SMS,0.5495588472440548,0.25,0.7971736301375076
157,4,0,Email,0.012597483293031765,0.1,0.6005336714482635
158,115,2,Push,0.5626044308035113,0.05,1.184616786657692
159,114,3,In-app,0.21856808889558732,0.15,1.0800725127894284
160,97,2,Push,0.03105221464627278,0.05,0.6579189373434964
161,153,2,Push,0.029832615526582448,0.05,0.8696499103633873
162,3,3,In-app,0.016827058005859496,0.15,0.5638023144024221
164,29,1,SMS,0.05635910792010028,0.25,0.8701662580026048
165,23,3,In-app,0.36202296217696783,0.15,1.299345688198722
167,79,2,Push,0.22766427820339585,0.05,0.7041593927597586
169,79,0,Email,0.11228135834107994,0.1,0.6525218946490519
170,104,2,Push,0.3042013000919306,0.05,0.7483558208169316
171,70,3,In-app,0.07514435196241383,0.15,1.1637280791207598
172,81,1,SMS,1.4901589838566984,0.25,0.8535438299845415
173,92,2,Push,0.01929536775084685,0.05,0.6131030924955395
176,119,3,In-app,0.14621784831848236,0.15,1.562100269930541
179,90,1,SMS,0.3259022257354697,0.25,0.5593119254458152
180,133,2,Push,0.3096267316905712,0.05,1.2030220887959617
182,12,1,SMS,0.35306402544619253,0.25,1.0336886886449257
187,101,1,SMS,0.08037883648079984,0.25,1.1256853240630158
188,164,3,In-app,0.1493666323395932,0.15,1.034827359719103
193,141,3,In-app,0.6214363858587282,0.15,1.2276455213107451
194,10,3,In-app,0.031811751428753546,0.15,0.752295692390181
195,19,0,Email,0.11262776627594756,0.1,0.889545234895084
197,93,2,Push,0.2717575550355455,0.05,0.7306239450202792
199,23,2,Push,0.08382560562853593,0.05,1.3552534990199374
202,164,2,Push,0.8610535381180681,0.05,0.757679044428823
203,34,2,Push,0.1253384192207547,0.05,1.1759950627922624
205,81,1,SMS,0.3102139933491572,0.25,0.5244438102638072
207,62,0,Email,0.8399868042902239,0.1,0.5830916845361054
208,12,0,Email,0.17938819560297475,0.1,0.5927553430349992
210,52,0,Email,0.05246982506509529,0.1,1.2249951340239347
222,39,1,SMS,0.006608820763446256,0.25,0.8780693804004013
223,31,2,Push,1.0696864301628728,0.05,0.9460281917879425
224,126,0,Email,0.03277192273115711,0.1,0.6458071030782301
225,104,3,In-app,0.15345510187779407,0.15,0.6593016077986478
226,24,3,In-app,0.015291240547347124,0.15,0.7560076521737572
228,42,3,In-app,0.14205339293203573,0.15,1.043425707096619
229,69,3,In-app,0.34180071813780943,0.15,0.5098606886509064
233,52,2,Push,0.04297972020296975,0.05,0.9098687324423264
234,90,1,SMS,0.02411645947282169,0.25,0.5325201163937373
236,121,3,In-app,0.051143087255347205,0.15,0.8485141671165136
237,66,2,Push,0.3396495515352559,0.05,0.6121534225633504
239,17,2,Push,1.0482290022856073,0.05,1.571285697681679
243,141,0,Email,0.13573453188839,0.1,0.5652079668711152
244,69,3,In-app,0.09308194334695366,0.15,1.1564608130885157
246,97,3,In-app,0.018530220960372917,0.15,0.8809089740411599
247,167,2,Push,0.1093723101960939,0.05,0.5308104964485051
248,66,3,In-app,0.09063848975513757,0.15,0.9556229478983495
251,160,2,Push,0.016279485591678675,0.05,0.6736301132293434
252,37,0,Email,0.011370505380944779,0.1,0.7750012988781467
254,76,3,In-app,0.03470428733998865,0.15,0.5038436198978844
256,49,2,Push,0.021985767383145755,0.05,1.1854085718646052
257,7,1,SMS,0.07237429105333895,0.25,0.7379905469367585
258,92,2,Push,0.660784564339283,0.05,1.6542595045868274
259,75,2,Push,0.03850395971508583,0.05,0.8488229809356188
