SolutionId,Timestamp,ExpectedResponses,TotalCost,CustomerValue,TotalAssignments,MaxHourlyLoad,UtilizationRate,EmailAssignments,SmsAssignments,PushAssignments,InAppAssignments,AvgResponseRate,CostPerResponse
0,20250701_182141,10.65957207119093,1.2300000000000006,495.97420790867216,66,4,0.66,33,8,25,0,0.1615086677453171,0.11538924750312048
1,20250701_182141,14.358546481002048,1.8600000000000012,642.8644173349315,85,6,0.85,32,16,37,0,0.16892407624708292,0.1295395743894403
2,20250701_182141,14.5359970495449,1.8400000000000012,622.6787651859227,83,6,0.83,33,17,33,0,0.17513249457283012,0.12658230417414737
3,20250701_182141,12.71572506723506,1.4400000000000008,599.6553584546414,73,5,0.73,35,11,27,0,0.17418801461965835,0.11324560671026825
4,20250701_182141,13.92126141986079,1.720000000000001,609.7293430883607,84,4,0.84,35,13,36,0,0.16572930261739036,0.1235520222000975
5,20250701_182141,11.836183146333475,1.3600000000000008,576.3547913282379,70,4,0.7,34,10,26,0,0.1690883306619068,0.11490190572298566
6,20250701_182141,11.448287294936298,1.290000000000001,549.8870855329202,66,6,0.66,30,9,27,0,0.17345889840812573,0.11268061036261572
7,20250701_182141,13.881866143004856,1.660000000000001,626.2526370519809,82,6,0.82,37,13,32,0,0.16929105052444948,0.1195804643914164
8,20250701_182141,11.980693982002236,1.380000000000001,589.6436859866202,70,5,0.7,35,11,24,0,0.17115277117146052,0.1151853141456646
9,20250701_182141,13.635830517443498,1.7600000000000011,637.8864423183436,82,5,0.82,33,15,34,0,0.16629061606638412,0.12907171277529
10,20250701_182141,11.977145750350882,1.3700000000000008,572.3704095339369,67,5,0.67,27,10,30,0,0.17876336940822213,0.11438451435391986
11,20250701_182141,11.566373509671886,1.310000000000001,535.3959461506884,69,5,0.69,28,7,34,0,0.16762860158944762,0.11325935470651795
12,20250701_182141,13.45714214607866,1.8200000000000012,638.3384057316005,80,6,0.8,32,18,30,0,0.16821427682598325,0.13524416850500012
13,20250701_182141,14.120564540271477,1.8200000000000014,591.7551641406423,84,5,0.84,34,16,34,0,0.1681019588127557,0.12889003090559228
14,20250701_182141,12.682198907985903,1.4000000000000008,597.1010435334583,73,5,0.73,36,10,27,0,0.17372875216419045,0.11039095114006053
15,20250701_182141,11.369867931078659,1.2300000000000009,565.4243693338453,69,6,0.69,36,7,26,0,0.1647806946533139,0.10818067610423956
16,20250701_182141,13.364237208754224,1.4900000000000009,651.1373506487812,75,6,0.75,34,11,30,0,0.17818982945005632,0.11149158584404492
17,20250701_182141,13.427762957602704,1.640000000000001,588.7149999442399,80,4,0.8,35,13,32,0,0.1678470369700338,0.12213501274770751
18,20250701_182141,12.774619255808162,1.480000000000001,558.2073722258475,74,5,0.74,30,10,34,0,0.17262998994335355,0.11585472493257269
